#      x          Cp  
     1.00000    0.73344
     0.99975    0.61421
     0.99901    0.53040
     0.99778    0.47986
     0.99605    0.42852
     0.99384    0.38825
     0.99113    0.34821
     0.98794    0.31331
     0.98427    0.27953
     0.98011    0.24792
     0.97548    0.21608
     0.97038    0.18652
     0.96481    0.15591
     0.95878    0.12674
     0.95229    0.09860
     0.94535    0.06972
     0.93797    0.04147
     0.93015    0.01386
     0.92189   -0.01389
     0.91322   -0.04174
     0.90413   -0.06955
     0.89463   -0.09709
     0.88474   -0.12465
     0.87445   -0.15193
     0.86379   -0.18028
     0.85277   -0.20753
     0.84138   -0.23541
     0.82965   -0.26372
     0.81758   -0.29201
     0.80519   -0.32020
     0.79248   -0.34867
     0.77948   -0.37831
     0.76619   -0.40675
     0.75262   -0.43708
     0.73880   -0.46610
     0.72473   -0.49860
     0.71042   -0.52652
     0.69590   -0.55960
     0.68117   -0.59086
     0.66625   -0.62442
     0.65115   -0.65630
     0.63590   -0.69024
     0.62050   -0.72683
     0.60498   -0.76022
     0.58934   -0.79623
     0.57360   -0.83458
     0.55778   -0.87187
     0.54189   -0.91041
     0.52596   -0.95327
     0.50999   -0.99014
     0.49401   -1.03589
     0.47803   -1.07825
     0.46206   -1.12385
     0.44613   -1.17182
     0.43025   -1.22005
     0.41443   -1.26798
     0.39870   -1.32004
     0.38307   -1.37678
     0.36755   -1.43237
     0.35216   -1.49341
     0.33692   -1.55869
     0.32185   -1.61966
     0.30696   -1.70564
     0.29212   -1.80037
     0.27689   -1.90153
     0.26190   -1.97846
     0.24718   -2.05950
     0.23274   -2.12093
     0.21860   -2.19946
     0.20478   -2.25514
     0.19130   -2.32469
     0.17817   -2.38182
     0.16542   -2.44678
     0.15305   -2.50522
     0.14109   -2.56521
     0.12954   -2.62391
     0.11843   -2.68342
     0.10775   -2.74304
     0.09754   -2.80549
     0.08778   -2.86028
     0.07851   -2.93974
     0.06971   -2.99325
     0.06141   -3.07057
     0.05362   -3.13911
     0.04632   -3.20016
     0.03955   -3.30465
     0.03329   -3.36314
     0.02755   -3.44802
     0.02234   -3.52139
     0.01766   -3.60891
     0.01350   -3.64194
     0.00988   -3.68988
     0.00679   -3.68192
     0.00424   -3.62366
     0.00221   -3.48204
     0.00072   -3.24496
    -0.00025   -2.88808
    -0.00069   -2.41646
    -0.00060   -1.86613
     0.00000   -1.27664
     0.00111   -0.72720
     0.00270   -0.23746
     0.00477    0.17579
     0.00732    0.49876
     0.01035    0.72131
     0.01383    0.86816
     0.01778    0.95213
     0.02217    0.99186
     0.02700    0.99945
     0.03227    0.98762
     0.03797    0.96062
     0.04408    0.92801
     0.05060    0.89204
     0.05753    0.85207
     0.06484    0.81641
     0.07254    0.77833
     0.08060    0.74551
     0.08903    0.71142
     0.09782    0.68523
     0.10695    0.65204
     0.11641    0.62824
     0.12620    0.60582
     0.13631    0.58185
     0.14672    0.56120
     0.15744    0.54568
     0.16844    0.52669
     0.17972    0.51348
     0.19127    0.49529
     0.20309    0.48446
     0.21517    0.46880
     0.22748    0.46066
     0.24004    0.44555
     0.25282    0.43505
     0.26583    0.42132
     0.27905    0.41076
     0.29246    0.39134
     0.30670    0.37398
     0.32126    0.35669
     0.33601    0.34806
     0.35092    0.33542
     0.36598    0.32879
     0.38118    0.31684
     0.39649    0.31079
     0.41192    0.30522
     0.42744    0.29964
     0.44303    0.29132
     0.45869    0.28962
     0.47439    0.28370
     0.49012    0.27941
     0.50587    0.27644
     0.52162    0.27379
     0.53736    0.27010
     0.55306    0.26781
     0.56872    0.26550
     0.58431    0.26465
     0.59983    0.26164
     0.61526    0.26036
     0.63057    0.25851
     0.64577    0.25693
     0.66082    0.25702
     0.67572    0.25554
     0.69045    0.25510
     0.70500    0.25348
     0.71934    0.25400
     0.73347    0.25372
     0.74738    0.25353
     0.76104    0.25406
     0.77444    0.25392
     0.78758    0.25448
     0.80042    0.25562
     0.81297    0.25664
     0.82521    0.25722
     0.83713    0.25999
     0.84871    0.26053
     0.85994    0.26376
     0.87081    0.26627
     0.88131    0.26893
     0.89142    0.27243
     0.90114    0.27633
     0.91046    0.28056
     0.91936    0.28556
     0.92784    0.29106
     0.93588    0.29709
     0.94348    0.30366
     0.95064    0.31207
     0.95733    0.31922
     0.96356    0.33020
     0.96931    0.33937
     0.97459    0.35253
     0.97938    0.36550
     0.98368    0.38032
     0.98749    0.39832
     0.99080    0.41801
     0.99360    0.44088
     0.99590    0.47011
     0.99769    0.50929
     0.99897    0.54965
     0.99974    0.62818
     1.00000    0.73344
