# m,p,t,C_l
2.000000000000000042e-02,1.000000000000000056e-01,2.000000000000000042e-02,1.204545050859451294e-02
2.000000000000000042e-02,1.000000000000000056e-01,1.150000000000000050e-01,2.147982642054557800e-02
2.000000000000000042e-02,1.000000000000000056e-01,2.099999999999999922e-01,2.047544717788696289e-02
2.000000000000000042e-02,1.000000000000000056e-01,3.050000000000000488e-01,2.607605978846549988e-02
2.000000000000000042e-02,1.000000000000000056e-01,4.000000000000000222e-01,3.219062089920043945e-02
2.000000000000000042e-02,2.250000000000000056e-01,2.000000000000000042e-02,4.534756764769554138e-03
2.000000000000000042e-02,2.250000000000000056e-01,1.150000000000000050e-01,2.132805809378623962e-02
2.000000000000000042e-02,2.250000000000000056e-01,2.099999999999999922e-01,1.774114742875099182e-02
2.000000000000000042e-02,2.250000000000000056e-01,3.050000000000000488e-01,2.225668914616107941e-02
2.000000000000000042e-02,2.250000000000000056e-01,4.000000000000000222e-01,2.880518510937690735e-02
2.000000000000000042e-02,3.499999999999999778e-01,2.000000000000000042e-02,-3.061397746205329895e-02
2.000000000000000042e-02,3.499999999999999778e-01,1.150000000000000050e-01,2.228678576648235321e-02
2.000000000000000042e-02,3.499999999999999778e-01,2.099999999999999922e-01,1.477240491658449173e-02
2.000000000000000042e-02,3.499999999999999778e-01,3.050000000000000488e-01,2.050550654530525208e-02
2.000000000000000042e-02,3.499999999999999778e-01,4.000000000000000222e-01,2.544370666146278381e-02
2.000000000000000042e-02,4.749999999999999778e-01,2.000000000000000042e-02,-2.241832017898559570e-02
2.000000000000000042e-02,4.749999999999999778e-01,1.150000000000000050e-01,2.021796442568302155e-02
2.000000000000000042e-02,4.749999999999999778e-01,2.099999999999999922e-01,1.070635020732879639e-02
2.000000000000000042e-02,4.749999999999999778e-01,3.050000000000000488e-01,1.789998449385166168e-02
2.000000000000000042e-02,4.749999999999999778e-01,4.000000000000000222e-01,2.441255934536457062e-02
2.000000000000000042e-02,5.999999999999999778e-01,2.000000000000000042e-02,-2.085287310183048248e-02
2.000000000000000042e-02,5.999999999999999778e-01,1.150000000000000050e-01,2.070967294275760651e-02
2.000000000000000042e-02,5.999999999999999778e-01,2.099999999999999922e-01,8.759292773902416229e-03
2.000000000000000042e-02,5.999999999999999778e-01,3.050000000000000488e-01,1.436711661517620087e-02
2.000000000000000042e-02,5.999999999999999778e-01,4.000000000000000222e-01,2.168974094092845917e-02
4.000000000000000083e-02,1.000000000000000056e-01,2.000000000000000042e-02,-3.199330344796180725e-02
4.000000000000000083e-02,1.000000000000000056e-01,1.150000000000000050e-01,2.539818175137042999e-02
4.000000000000000083e-02,1.000000000000000056e-01,2.099999999999999922e-01,1.749061048030853271e-02
4.000000000000000083e-02,1.000000000000000056e-01,3.050000000000000488e-01,2.258806116878986359e-02
4.000000000000000083e-02,1.000000000000000056e-01,4.000000000000000222e-01,4.267900437116622925e-02
4.000000000000000083e-02,2.250000000000000056e-01,2.000000000000000042e-02,-2.546018175780773163e-02
4.000000000000000083e-02,2.250000000000000056e-01,1.150000000000000050e-01,2.001815661787986755e-02
4.000000000000000083e-02,2.250000000000000056e-01,2.099999999999999922e-01,1.725533418357372284e-02
4.000000000000000083e-02,2.250000000000000056e-01,3.050000000000000488e-01,2.277213707566261292e-02
4.000000000000000083e-02,2.250000000000000056e-01,4.000000000000000222e-01,2.898404747247695923e-02
4.000000000000000083e-02,3.499999999999999778e-01,2.000000000000000042e-02,-5.878483410924673080e-03
4.000000000000000083e-02,3.499999999999999778e-01,1.150000000000000050e-01,1.890724338591098785e-02
4.000000000000000083e-02,3.499999999999999778e-01,2.099999999999999922e-01,1.571612991392612457e-02
4.000000000000000083e-02,3.499999999999999778e-01,3.050000000000000488e-01,2.157417125999927521e-02
4.000000000000000083e-02,3.499999999999999778e-01,4.000000000000000222e-01,2.724416181445121765e-02
4.000000000000000083e-02,4.749999999999999778e-01,2.000000000000000042e-02,-1.029690168797969818e-02
4.000000000000000083e-02,4.749999999999999778e-01,1.150000000000000050e-01,1.599308662116527557e-02
4.000000000000000083e-02,4.749999999999999778e-01,2.099999999999999922e-01,1.505141425877809525e-02
4.000000000000000083e-02,4.749999999999999778e-01,3.050000000000000488e-01,1.960710249841213226e-02
4.000000000000000083e-02,4.749999999999999778e-01,4.000000000000000222e-01,2.584583871066570282e-02
4.000000000000000083e-02,5.999999999999999778e-01,2.000000000000000042e-02,-1.170796751976013184e-01
4.000000000000000083e-02,5.999999999999999778e-01,1.150000000000000050e-01,9.662046097218990326e-03
4.000000000000000083e-02,5.999999999999999778e-01,2.099999999999999922e-01,1.349898334592580795e-02
4.000000000000000083e-02,5.999999999999999778e-01,3.050000000000000488e-01,1.804788410663604736e-02
4.000000000000000083e-02,5.999999999999999778e-01,4.000000000000000222e-01,2.431176044046878815e-02
5.999999999999999778e-02,1.000000000000000056e-01,2.000000000000000042e-02,-1.122518806369043887e-04
