# m,p,t,C_l
2.000000000000000111e-01,5.999999999999999778e-01,5.999999999999999778e-01,-2.212094375863671303e-03
2.000000000000000111e-01,5.999999999999999778e-01,3.499999999999999778e-01,-1.348352152854204178e-02
2.000000000000000111e-01,5.999999999999999778e-01,1.000000000000000056e-01,-2.292012237012386322e-02
2.000000000000000111e-01,3.499999999999999778e-01,5.999999999999999778e-01,-2.860956126824021339e-03
2.000000000000000111e-01,3.499999999999999778e-01,3.499999999999999778e-01,-1.641825027763843536e-02
2.000000000000000111e-01,3.499999999999999778e-01,1.000000000000000056e-01,-2.527513355016708374e-02
2.000000000000000111e-01,1.000000000000000056e-01,5.999999999999999778e-01,2.992590963840484619e-01
2.000000000000000111e-01,1.000000000000000056e-01,3.499999999999999778e-01,1.445884164422750473e-02
2.000000000000000111e-01,1.000000000000000056e-01,1.000000000000000056e-01,-2.983110956847667694e-02
1.100000000000000144e-01,5.999999999999999778e-01,5.999999999999999778e-01,3.981005400419235229e-03
1.100000000000000144e-01,5.999999999999999778e-01,3.499999999999999778e-01,-7.802376523613929749e-03
1.100000000000000144e-01,5.999999999999999778e-01,1.000000000000000056e-01,-9.215376339852809906e-03
1.100000000000000144e-01,3.499999999999999778e-01,5.999999999999999778e-01,5.045039113610982895e-03
1.100000000000000144e-01,3.499999999999999778e-01,3.499999999999999778e-01,-9.033666923642158508e-03
1.100000000000000144e-01,3.499999999999999778e-01,1.000000000000000056e-01,-2.764218300580978394e-02
1.100000000000000144e-01,1.000000000000000056e-01,5.999999999999999778e-01,2.036715000867843628e-01
1.100000000000000144e-01,1.000000000000000056e-01,3.499999999999999778e-01,-1.132311578840017319e-02
1.100000000000000144e-01,1.000000000000000056e-01,1.000000000000000056e-01,-1.682517677545547485e-02
2.000000000000000042e-02,5.999999999999999778e-01,5.999999999999999778e-01,1.303621218539774418e-03
2.000000000000000042e-02,5.999999999999999778e-01,3.499999999999999778e-01,-1.454165671020746231e-03
2.000000000000000042e-02,5.999999999999999778e-01,1.000000000000000056e-01,1.131864357739686966e-02
2.000000000000000042e-02,3.499999999999999778e-01,5.999999999999999778e-01,5.649624392390251160e-03
2.000000000000000042e-02,3.499999999999999778e-01,3.499999999999999778e-01,-7.170228054746985435e-04
2.000000000000000042e-02,3.499999999999999778e-01,1.000000000000000056e-01,4.892894066870212555e-03
2.000000000000000042e-02,1.000000000000000056e-01,5.999999999999999778e-01,1.359851565212011337e-02
2.000000000000000042e-02,1.000000000000000056e-01,3.499999999999999778e-01,2.864575013518333435e-03
2.000000000000000042e-02,1.000000000000000056e-01,1.000000000000000056e-01,-7.355804555118083954e-04
