X(mm),Y(mm)
100.000000,0.000000
99.848800,0.042700
99.396100,0.170000
98.644200,0.379400
97.597200,0.666900
96.260900,1.027100
94.642400,1.453100
92.750700,1.937300
90.596500,2.470900
88.191700,3.044500
85.550300,3.648400
82.687300,4.272400
79.619500,4.906500
76.365000,5.540400
72.943100,6.164100
69.374400,6.768000
65.680600,7.342400
61.884200,7.878500
58.008700,8.367600
54.078200,8.801800
50.117400,9.173700
46.151600,9.476800
42.205900,9.705500
38.278800,9.851000
34.386900,9.879200
30.592100,9.784000
26.921300,9.568900
23.400200,9.239600
20.053900,8.804400
16.905600,8.273400
13.977000,7.658900
11.288000,6.974300
8.856000,6.234300
6.696400,5.454000
4.822100,4.648500
3.243700,3.832500
1.969300,3.019300
1.005100,2.220900
0.354700,1.447100
0.019800,0.705200
0.000000,0.000000
0.288500,-0.643700
0.876500,-1.202700
1.757900,-1.677900
2.925000,-2.070400
4.368400,-2.382500
6.077300,-2.617200
8.039600,-2.778200
10.242300,-2.870600
12.671400,-2.900000
15.312300,-2.873300
18.149600,-2.798500
21.167600,-2.684100
24.349900,-2.539700
27.679700,-2.375300
31.139500,-2.201200
34.711400,-2.027700
38.376700,-1.865000
42.150600,-1.716000
46.002500,-1.558900
49.882600,-1.396000
53.767700,-1.232600
57.634800,-1.073400
61.460300,-0.922200
65.221100,-0.781800
68.893900,-0.654200
72.455900,-0.540300
75.884900,-0.440400
79.159000,-0.354300
82.257500,-0.281100
85.160400,-0.219700
87.848800,-0.168800
90.305200,-0.127100
92.513300,-0.093100
94.458300,-0.065900
96.127100,-0.044300
97.508400,-0.027700
98.592800,-0.015300
99.372800,-0.006700
99.842900,-0.001700
100.000000,0.000000
